"Trabalho.1" "P1" "Total.P1" "Trabalho.2" "P2" "Total.P2" "Média.P2" "Ata.P1" "Ata.P2" "Turno" "Turma" "Tempo1" "Tempo2" "Abandono" "Existente"
"162" 1 3.5 4.5 2 6 8 6.6 "S" "N" "2N" "Civil4AN" 1 5 "N" "S"
"163" 1 6 7 2 7.5 9.5 8.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"164" 0 2 2 2 4.5 6.5 4.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"165" 1 2.5 3.5 2 2 4 3.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"166" 0 0 0 2 1 3 1.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"167" 0 0 0 0 0 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"168" 1 4 5 0 0 0 2 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"169" 1 6.5 7.5 2 4 6 6.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"170" 1 2.5 3.5 NA NA 0 1.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "S" "S"
"171" 1 2 3 2 6.3 8.3 6.2 "N" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"172" 0.5 9.5 10 2 5.5 7.5 8.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"173" 0 0 0 0 0 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"174" 0 10 10 2 2.5 4.5 6.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"175" 1 3 4 2 1.5 3.5 3.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"176" 1 3.5 4.5 2 4.5 6.5 5.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"177" 0 0 0 2 6.5 8.5 5.1 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"178" 0 0 0 2 1.5 3.5 2.1 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"179" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"180" 0 10 10 2 8 10 10 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"181" 1 5 6 2 8 10 8.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"182" 1 8 9 2 5 7 7.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"183" 0 10 10 2 7.3 9.3 9.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"184" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"185" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"186" 1 9 10 2 6 8 8.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"187" 1 7 8 2 2.5 4.5 5.9 "N" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"188" 1 8.5 9.5 2 8 10 9.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"189" 0 10 10 2 7 9 9.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"190" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"191" 0 0 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 "S" "S"
"192" 1 6 7 2 2.5 4.5 5.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"193" 0 0 0 0 0 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"194" 1 7.5 8.5 2 2 4 5.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"195" 1 4.5 5.5 2 5 7 6.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"196" 1 5 6 2 8 10 8.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"197" 1 5.5 6.5 0 0 0 2.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"198" 1 4.5 5.5 2 7 9 7.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"199" 0 0 0 2 2.5 4.5 2.7 "N" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"200" 1 8 9 2 5 7 7.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"201" 1 5 6 2 4 6 6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"202" 1 6.5 7.5 2 7.7 9.7 8.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"203" 1 2 3 0 0 0 1.2 "N" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"204" 1 3.5 4.5 0 0 0 1.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"205" 0 2.5 2.5 2 2 4 3.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"206" 0 10 10 2 7 9 9.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"207" 1 5.5 6.5 2 7.8 9.8 8.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"208" 0 1.5 1.5 0 0 0 0.6 "N" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"209" 1 4.5 5.5 2 3 5 5.2 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"210" 1 8 9 2 4.5 6.5 7.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"211" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
